hh_id;ind_id;psu;strata;subsample;weight;area;region;region_01;agec4;agec2;d_cm;d_nutr;d_satt;d_educ;d_elct;d_wtr;d_sani;d_hsg;d_ckfl;d_asst;d_cm_01;d_nutr_01;d_satt_01;d_educ_01;d_elct_01;d_wtr_01;d_sani_01;d_hsg_01;d_ckfl_01;d_asst_01;mpi
10001;1000101;1;245;selected;0.414342;urban;Pursat;Pursat;60+;18+;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0.16666667
10001;1000102;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0.16666667
10001;1000103;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0.16666667
10001;1000104;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0.16666667
10001;1000105;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0.16666667
10006;1000601;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0.3888889
10007;1000701;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0.22222222
10007;1000702;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0.22222222
10007;1000703;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0.22222222
10007;1000704;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0.22222222
10007;1000705;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0.22222222
10008;1000801;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000802;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000803;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000804;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000805;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000806;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000807;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10008;1000808;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0.16666667
10011;1001101;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001102;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001103;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001104;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001105;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001106;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001107;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001108;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10011;1001109;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;0;0.55555558
10014;1001401;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0.27777779
10014;1001402;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;1;0.27777779
10017;1001701;1;245;selected;0.414342;urban;Pursat;Pursat;60+;18+;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0.3888889
10017;1001702;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0.3888889
10017;1001703;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0.3888889
10017;1001704;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0.3888889
10019;1001901;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001902;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001903;1;245;selected;0.414342;urban;Pursat;Pursat;oct-17;0-17;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001904;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001905;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001906;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001907;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10019;1001908;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0.5
10021;1002101;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0.3888889
10021;1002102;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0.3888889
10021;1002103;1;245;selected;0.414342;urban;Pursat;Pursat;0-9;0-17;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0.3888889
10025;1002501;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0.27777779
10025;1002502;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0.27777779
10025;1002503;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0.27777779
10025;1002504;1;245;selected;0.414342;urban;Pursat;Pursat;18-59;18+;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0.27777779
