hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01,mpi
10002,1000201,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,.55555558
10002,1000202,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,.55555558
10002,1000203,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,.55555558
10003,1000301,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,.16666667
10003,1000302,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,.16666667
10003,1000303,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,.16666667
10003,1000304,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,.16666667
10005,1000501,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,.16666667
10005,1000502,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,.16666667
10005,1000503,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,.16666667
10005,1000504,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,.16666667
10005,1000505,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,.16666667
10006,1000601,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10006,1000602,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10006,1000603,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10006,1000604,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10006,1000605,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10006,1000606,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10008,1000801,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10008,1000802,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10008,1000803,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10008,1000804,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.22222222
10009,1000901,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10009,1000902,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10009,1000903,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10011,1001101,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10011,1001102,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10011,1001103,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10011,1001104,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.055555556
10012,1001201,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,.44444445
10014,1001401,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,.16666667
