psu;area;region;region_01;rate_cm;rate_nutr;rate_satt;rate_educ;rate_elct;rate_wtr;rate_sani;rate_hsg;rate_ckfl;rate_asst;depr_cm;depr_nutr;depr_educ;depr_satt;depr_wtr;depr_sani;depr_hsg;depr_elct;depr_asst;depr_ckfl;mpi_met4
1;urban;Pursat;Pursat;0.090909094;0.45454547;0;0.27272728;0.81818181;0.72727275;0.72727275;0.27272728;1;0.18181819;1;1;1;0;1;1;0;1;0;1;0.72222221
2;rural;Pursat;Pursat;0;0.090909094;0;0;0;0.18181819;0.45454547;0.18181819;0.90909094;0.090909094;0;0;0;0;0;0;0;0;0;1;0.055555556
3;rural;Otdar Meanchey;Otdar Meanchey;0.07692308;0.38461539;0.46153846;0.69230771;1;0.46153846;1;0.61538464;1;0.76923078;1;1;1;1;1;1;1;1;1;1;1
4;rural;Banteay Meanchay;Banteay Meanchay;0;0.23076923;0.15384616;0.53846157;0.38461539;0.15384616;0.76923078;0.30769232;1;0.38461539;0;1;1;0;0;1;0;1;0;1;0.5
5;urban;Prey Veng;Prey Veng;0.083333336;0.58333331;0.16666667;0.5;1;0.5;1;0.66666669;1;0.41666666;1;1;1;1;1;1;1;1;0;1;0.94444442
6;rural;Kratie;Kratie;0;0.5;0.071428575;0.2857143;1;0.9285714;0.85714287;0.42857143;1;0.2857143;0;1;1;0;1;1;0;1;0;1;0.55555558
7;rural;Takeo;Takeo;0;0.23076923;0.30769232;0.53846157;0.92307693;1;0.84615386;0.76923078;0.84615386;0.46153846;0;1;1;1;1;1;1;1;0;1;0.77777779
8;rural;Svay Rieng;Svay Rieng;0;0.38461539;0.071428575;0.14285715;0.35714287;0;0.64285713;0.42857143;0.85714287;0.071428575;0;1;1;0;0;1;0;1;0;1;0.5
9;rural;Svay Rieng;Svay Rieng;0.15384616;0.53846157;0;0.38461539;1;0;0.92307693;0.92307693;1;0.30769232;1;1;1;0;0;1;1;1;0;1;0.72222221
10;rural;Svay Rieng;Svay Rieng;0;0.42857143;0.2857143;0.5714286;1;0;0.9285714;0.9285714;1;0.5;0;1;1;1;0;1;1;1;0;1;0.72222221
11;rural;Kampong Thom;Kampong Thom;0.083333336;0.33333334;0.33333334;0.66666669;1;0.66666669;1;0.66666669;1;0.58333331;1;1;1;1;1;1;1;1;0;1;0.94444442
12;rural;Takeo;Takeo;0;0.41666666;0.083333336;0.16666667;1;0.083333336;1;0.91666669;1;0.41666666;0;1;1;0;0;1;1;1;0;1;0.55555558
13;rural;Otdar Meanchey;Otdar Meanchey;0;0.27272728;0;0.41666666;1;0;0.91666669;0.33333334;0.91666669;0.58333331;0;1;1;0;0;1;0;1;0;1;0.5
14;rural;Battambang & Pailin;Battambang & Pailin;0;0.18181819;0;0.090909094;0.27272728;0.36363637;0.54545456;0.63636363;0.90909094;0.27272728;0;1;0;0;1;1;1;1;0;1;0.44444445
15;urban;Prey Veng;Prey Veng;0;0.27272728;0.36363637;0.090909094;1;0;0.81818181;0.63636363;0.81818181;0.18181819;0;1;0;1;0;1;1;1;0;1;0.55555558
16;rural;Kampot & Kep;Kampot & Kep;0;0.21428572;0.21428572;0.21428572;1;0.9285714;0.85714287;0.42857143;1;0.2857143;0;1;1;1;1;1;0;1;0;1;0.72222221
17;urban;Otdar Meanchey;Otdar Meanchey;0.083333336;0.33333334;0.083333336;0.33333334;0.91666669;0.41666666;0.91666669;0.41666666;1;0.66666669;1;1;1;0;1;1;0;1;1;1;0.77777779
18;rural;Kampong Thom;Kampong Thom;0;0.42857143;0.5;0.5;0.9285714;0.71428573;0.9285714;0.64285713;1;0.2857143;0;1;1;1;1;1;1;1;0;1;0.77777779
19;rural;Prey Veng;Prey Veng;0.15384616;0.14285715;0;0.071428575;1;0.9285714;1;0.35714287;1;0.071428575;1;1;0;0;1;1;0;1;0;1;0.55555558
20;rural;Kampong Thom;Kampong Thom;0.071428575;0.5714286;0.35714287;0.85714287;1;0.78571427;1;0.64285713;1;0.64285713;1;1;1;1;1;1;1;1;1;1;1
21;rural;Otdar Meanchey;Otdar Meanchey;0;0.5;0.33333334;0.58333331;1;0.16666667;0.83333331;0.58333331;1;0.5;0;1;1;1;0;1;1;1;0;1;0.72222221
22;rural;Takeo;Takeo;0;0.35714287;0;0.21428572;1;1;0.9285714;0.71428573;1;0.35714287;0;1;1;0;1;1;1;1;0;1;0.6111111
23;rural;Kandal;Kandal;0.090909094;0.54545456;0.18181819;0.72727275;0.90909094;0.090909094;1;0.72727275;0.90909094;0.54545456;1;1;1;1;0;1;1;1;0;1;0.8888889
24;rural;Prey Veng;Prey Veng;0;0.66666669;0.25;0.5;1;0.083333336;1;0.75;1;0.41666666;0;1;1;1;0;1;1;1;0;1;0.72222221
25;urban;Kratie;Kratie;0;0.25;0.25;0.083333336;0.25;0.33333334;0.41666666;0.25;0.91666669;0.16666667;0;1;0;1;1;0;0;1;0;1;0.5
26;rural;Siem Reap;Siem Reap;0;0.35714287;0.14285715;0.9285714;1;0.71428573;1;0.71428573;1;0.42857143;0;1;1;0;1;1;1;1;0;1;0.6111111
27;rural;Banteay Meanchay;Banteay Meanchay;0;0.14285715;0;0.2857143;1;1;1;0.5;1;0.5;0;1;1;0;1;1;1;1;0;1;0.6111111
28;rural;Kampot & Kep;Kampot & Kep;0.07692308;0.21428572;0.2857143;0.5;1;0.78571427;0.85714287;0.64285713;1;0.2857143;1;1;1;1;1;1;1;1;0;1;0.94444442
29;urban;Kampong Chhnang;Kampong Chhnang;0;0.27272728;0.27272728;0.18181819;0.18181819;0.090909094;0.18181819;0.18181819;0.54545456;0.36363637;0;1;1;1;0;0;0;1;0;1;0.6111111
