psu,area,region,region_01,rate_cm,rate_nutr,rate_satt,rate_educ,rate_elct,rate_wtr,rate_sani,rate_hsg,rate_ckfl,rate_asst,depr_cm,depr_nutr,depr_educ,depr_satt,depr_wtr,depr_sani,depr_hsg,depr_elct,depr_asst,depr_ckfl,mpi_met4
1,rural,Banteay Meanchay,Banteay Meanchay,0,.071428575,0,.21428572,.071428575,.14285715,.21428572,0,1,.071428575,0,0,1,0,0,0,0,0,0,1,.22222222
2,rural,Banteay Meanchay,Banteay Meanchay,0,.090909094,0,.23076923,.61538464,.30769232,.38461539,.38461539,1,.23076923,0,0,1,0,1,0,0,1,0,1,.33333334
3,rural,Banteay Meanchay,Banteay Meanchay,0,.090909094,.07692308,.46153846,.30769232,.15384616,.76923078,.30769232,.92307693,.30769232,0,0,1,0,0,1,0,1,0,1,.33333334
4,rural,Banteay Meanchay,Banteay Meanchay,0,.36363637,.090909094,.27272728,1,.27272728,.72727275,.72727275,1,.27272728,0,1,1,0,0,1,1,1,0,1,.55555558
5,urban,Banteay Meanchay,Banteay Meanchay,0,.45454547,.090909094,0,0,.090909094,.18181819,.18181819,.72727275,.090909094,0,1,0,0,0,0,0,0,0,1,.22222222
6,urban,Banteay Meanchay,Banteay Meanchay,0,.45454547,0,.18181819,0,.090909094,.18181819,.18181819,.81818181,.090909094,0,1,1,0,0,0,0,0,0,1,.3888889
7,rural,Banteay Meanchay,Banteay Meanchay,0,.2857143,.14285715,.5,1,.5,.64285713,.64285713,1,.21428572,0,1,1,0,1,1,1,1,0,1,.6111111
8,rural,Banteay Meanchay,Banteay Meanchay,0,.2857143,.21428572,.5,1,.64285713,1,.5714286,1,.5,0,1,1,1,1,1,1,1,0,1,.77777779
9,rural,Banteay Meanchay,Banteay Meanchay,.071428575,.35714287,0,.21428572,1,.5714286,1,.21428572,1,.14285715,1,1,1,0,1,1,0,1,0,1,.72222221
10,rural,Banteay Meanchay,Banteay Meanchay,0,.35714287,.14285715,.21428572,1,.64285713,.71428573,.78571427,1,.071428575,0,1,1,0,1,1,1,1,0,1,.6111111
11,rural,Banteay Meanchay,Banteay Meanchay,0,.41666666,.07692308,.46153846,1,.30769232,1,.61538464,1,.23076923,0,1,1,0,1,1,1,1,0,1,.6111111
12,rural,Banteay Meanchay,Banteay Meanchay,.071428575,.42857143,0,.42857143,.71428573,.071428575,.64285713,.71428573,1,.14285715,1,1,1,0,0,1,1,1,0,1,.72222221
13,rural,Banteay Meanchay,Banteay Meanchay,0,.41666666,.07692308,.07692308,1,.15384616,.46153846,.07692308,.92307693,.07692308,0,1,0,0,0,0,0,1,0,1,.27777779
14,rural,Banteay Meanchay,Banteay Meanchay,0,.1,.15384616,.61538464,1,.53846157,.84615386,.23076923,1,.38461539,0,0,1,0,1,1,0,1,0,1,.3888889
15,urban,Banteay Meanchay,Banteay Meanchay,0,.16666667,.083333336,0,0,.083333336,.083333336,.25,.83333331,0,0,1,0,0,0,0,0,0,0,1,.22222222
16,urban,Banteay Meanchay,Banteay Meanchay,0,.33333334,0,.1,0,.2,0,0,.69999999,.1,0,1,0,0,0,0,0,0,0,1,.22222222
17,rural,Banteay Meanchay,Banteay Meanchay,0,.071428575,.071428575,.2857143,1,0,.5,.35714287,1,.35714287,0,0,1,0,0,1,0,1,0,1,.33333334
18,urban,Banteay Meanchay,Banteay Meanchay,0,.18181819,.18181819,.45454547,.18181819,.63636363,.45454547,.45454547,.81818181,.36363637,0,1,1,1,1,0,1,1,0,1,.72222221
19,urban,Banteay Meanchay,Banteay Meanchay,0,.27272728,.083333336,.25,0,0,.25,.33333334,.66666669,.16666667,0,1,1,0,0,0,0,0,0,1,.3888889
20,rural,Banteay Meanchay,Banteay Meanchay,0,.25,.083333336,.33333334,1,.75,.41666666,.33333334,1,.33333334,0,1,1,0,1,0,0,1,0,1,.5
21,rural,Banteay Meanchay,Banteay Meanchay,0,.33333334,.25,.75,1,.83333331,1,.83333331,1,.16666667,0,1,1,1,1,1,1,1,0,1,.77777779
22,rural,Banteay Meanchay,Banteay Meanchay,0,.071428575,.071428575,.2857143,.35714287,.14285715,.5714286,.071428575,.9285714,.14285715,0,0,1,0,0,1,0,1,0,1,.33333334
23,rural,Banteay Meanchay,Banteay Meanchay,0,.33333334,.30769232,.61538464,.92307693,.53846157,.46153846,.38461539,1,.30769232,0,1,1,1,1,0,0,1,0,1,.66666669
24,rural,Banteay Meanchay,Banteay Meanchay,0,.30769232,0,.38461539,.92307693,.69230771,1,.23076923,1,.07692308,0,1,1,0,1,1,0,1,0,1,.55555558
25,urban,Banteay Meanchay,Banteay Meanchay,.090909094,.27272728,.090909094,.36363637,.090909094,.18181819,.45454547,.27272728,.90909094,.090909094,1,1,1,0,0,0,0,1,0,1,.6111111
26,rural,Banteay Meanchay,Banteay Meanchay,.083333336,.45454547,0,.61538464,.69230771,.53846157,.84615386,.53846157,1,.38461539,1,1,1,0,1,1,1,1,0,1,.77777779
27,rural,Banteay Meanchay,Banteay Meanchay,0,.25,0,.66666669,.91666669,.91666669,.91666669,1,1,.5,0,1,1,0,1,1,1,1,0,1,.6111111
28,urban,Banteay Meanchay,Banteay Meanchay,0,.36363637,.18181819,.18181819,0,0,.36363637,.36363637,.27272728,.36363637,0,1,1,1,0,0,0,0,0,1,.55555558
29,urban,Banteay Meanchay,Banteay Meanchay,0,.27272728,.18181819,.090909094,0,0,.090909094,.36363637,.45454547,0,0,1,0,1,0,0,0,0,0,1,.3888889
30,urban,Banteay Meanchay,Banteay Meanchay,.090909094,.27272728,0,.54545456,0,0,.81818181,1,.63636363,.36363637,1,1,1,0,0,1,1,0,0,1,.66666669
