psu,area,region,region_01,rate_cm,rate_nutr,rate_satt,rate_educ,rate_elct,rate_wtr,rate_sani,rate_hsg,rate_ckfl,rate_asst,depr_cm,depr_nutr,depr_educ,depr_satt,depr_wtr,depr_sani,depr_hsg,depr_elct,depr_asst,depr_ckfl,mpi_met4
1,urban,Banteay Meanchay,Banteay Meanchay,0,.21428572,.2,.2,0,0,.06666667,0,.80000001,0,0,1,1,1,0,0,0,0,0,1,.55555558
2,rural,Banteay Meanchay,Banteay Meanchay,0,.083333336,.07692308,.07692308,0,.07692308,.23076923,0,.69230771,0,0,0,0,0,0,0,0,0,0,1,.055555556
3,urban,Banteay Meanchay,Banteay Meanchay,0,.071428575,.071428575,.21428572,0,0,.14285715,0,.42857143,.14285715,0,0,1,0,0,0,0,0,0,1,.22222222
4,urban,Banteay Meanchay,Banteay Meanchay,0,.14285715,.13333334,.13333334,0,0,.06666667,.06666667,.60000002,0,0,1,1,0,0,0,0,0,0,1,.3888889
5,rural,Banteay Meanchay,Banteay Meanchay,0,.06666667,.06666667,.33333334,0,0,.2,.13333334,.80000001,0,0,0,1,0,0,0,0,0,0,1,.22222222
6,rural,Banteay Meanchay,Banteay Meanchay,0,.13333334,0,.40000001,.06666667,.13333334,.26666668,.2,.86666667,.06666667,0,1,1,0,0,0,0,0,0,1,.3888889
7,rural,Banteay Meanchay,Banteay Meanchay,0,.27272728,0,.083333336,.083333336,0,.33333334,.083333336,1,.16666667,0,1,0,0,0,0,0,0,0,1,.22222222
8,rural,Banteay Meanchay,Banteay Meanchay,0,.21428572,.071428575,.2857143,0,0,0,.071428575,.71428573,0,0,1,1,0,0,0,0,0,0,1,.3888889
9,rural,Banteay Meanchay,Banteay Meanchay,0,.15384616,0,.14285715,0,0,0,0,.78571427,0,0,1,1,0,0,0,0,0,0,1,.3888889
10,rural,Banteay Meanchay,Banteay Meanchay,0,0,.26666668,.33333334,0,0,.13333334,.06666667,.80000001,0,0,0,1,1,0,0,0,0,0,1,.3888889
11,rural,Banteay Meanchay,Banteay Meanchay,0,.2,0,.40000001,0,0,.13333334,.06666667,.93333334,0,0,1,1,0,0,0,0,0,0,1,.3888889
12,rural,Banteay Meanchay,Banteay Meanchay,0,.23076923,0,.07692308,0,.53846157,.15384616,0,.76923078,0,0,1,0,0,1,0,0,0,0,1,.27777779
13,rural,Banteay Meanchay,Banteay Meanchay,0,.25,.083333336,.33333334,.083333336,0,.41666666,.083333336,.75,.25,0,1,1,0,0,0,0,0,0,1,.3888889
14,rural,Banteay Meanchay,Banteay Meanchay,0,.15384616,.071428575,.42857143,0,0,.14285715,0,.85714287,.071428575,0,1,1,0,0,0,0,0,0,1,.3888889
15,rural,Banteay Meanchay,Banteay Meanchay,0,.23076923,.07692308,.53846157,.07692308,0,.46153846,0,.61538464,.30769232,0,1,1,0,0,0,0,0,0,1,.3888889
16,urban,Banteay Meanchay,Banteay Meanchay,0,.06666667,.06666667,.26666668,0,.06666667,.2,.13333334,.66666669,0,0,0,1,0,0,0,0,0,0,1,.22222222
17,urban,Banteay Meanchay,Banteay Meanchay,0,.40000001,0,0,0,0,0,0,.1,0,0,1,0,0,0,0,0,0,0,0,.16666667
18,urban,Banteay Meanchay,Banteay Meanchay,0,.23076923,0,.07692308,0,.23076923,0,0,.07692308,0,0,1,0,0,0,0,0,0,0,0,.16666667
19,rural,Banteay Meanchay,Banteay Meanchay,0,.14285715,0,.35714287,0,.071428575,.35714287,.21428572,.9285714,0,0,1,1,0,0,0,0,0,0,1,.3888889
